Country,Region/State,Zip/Postal Codee,Weight (and above),Shipping Price,BSPname
AU,QLD,4303,0,15,WEST SUBS
AU,QLD,4304,0,15,WEST SUBS
AU,QLD,4305,0,15,WEST SUBS
AU,QLD,4306,0,15,WEST SUBS
AU,QLD,4307,0,20,WEST SUBS
AU,QLD,4309,0,20,WEST SUBS
AU,QLD,4310,0,15,WEST SUBS
AU,QLD,4311,0,20,WEST SUBS
AU,QLD,4312,0,20,WEST SUBS
AU,QLD,4313,0,20,WEST SUBS
AU,QLD,4340,0,20,WEST SUBS
AU,QLD,4341,0,20,WEST SUBS
AU,QLD,4342,0,20,WEST SUBS
AU,QLD,4343,0,20,WEST SUBS
AU,QLD,4344,0,20,WEST SUBS
AU,QLD,4345,0,20,WEST SUBS
AU,QLD,4346,0,15,WEST SUBS
AU,QLD,4347,0,20,WEST SUBS
AU,QLD,4350,0,15,TOOWOOMBA REGION
AU,QLD,4352,0,15,TOOWOOMBA REGION
AU,QLD,4353,0,15,TOOWOOMBA REGION
AU,QLD,4354,0,15,TOOWOOMBA REGION
AU,QLD,4355,0,15,TOOWOOMBA REGION
AU,QLD,4356,0,15,TOOWOOMBA REGION
AU,QLD,4357,0,15,TOOWOOMBA REGION
AU,QLD,4358,0,15,TOOWOOMBA REGION
AU,QLD,4359,0,15,TOOWOOMBA REGION
AU,QLD,4360,0,15,TOOWOOMBA REGION
AU,QLD,4361,0,15,TOOWOOMBA REGION
AU,QLD,4362,0,15,TOOWOOMBA REGION
AU,QLD,4363,0,15,TOOWOOMBA REGION
AU,QLD,4364,0,15,TOOWOOMBA REGION
AU,QLD,4365,0,15,TOOWOOMBA REGION
AU,QLD,4370,0,15,TOOWOOMBA REGION
AU,QLD,4371,0,15,TOOWOOMBA REGION
AU,QLD,4372,0,15,TOOWOOMBA REGION
AU,QLD,4373,0,15,TOOWOOMBA REGION
AU,QLD,4374,0,15,TOOWOOMBA REGION
AU,QLD,4375,0,15,TOOWOOMBA REGION
AU,QLD,4376,0,15,TOOWOOMBA REGION
AU,QLD,4377,0,15,TOOWOOMBA REGION
AU,QLD,4378,0,15,TOOWOOMBA REGION
AU,QLD,4380,0,15,TOOWOOMBA REGION
AU,QLD,4381,0,15,TOOWOOMBA REGION
AU,QLD,4382,0,15,TOOWOOMBA REGION
AU,QLD,4383,0,15,TOOWOOMBA REGION
AU,QLD,4384,0,15,TOOWOOMBA REGION
AU,QLD,4385,0,15,TOOWOOMBA REGION
AU,QLD,4387,0,15,TOOWOOMBA REGION
AU,QLD,4388,0,15,TOOWOOMBA REGION
AU,QLD,4390,0,15,TOOWOOMBA REGION
AU,QLD,4400,0,15,TOOWOOMBA REGION
AU,QLD,4401,0,15,TOOWOOMBA REGION
AU,QLD,4402,0,15,TOOWOOMBA REGION
AU,QLD,4403,0,15,TOOWOOMBA REGION
AU,QLD,4404,0,15,TOOWOOMBA REGION
AU,QLD,4405,0,15,TOOWOOMBA REGION
AU,QLD,4406,0,15,TOOWOOMBA REGION
AU,QLD,4407,0,15,TOOWOOMBA REGION
AU,QLD,4408,0,15,TOOWOOMBA REGION
AU,QLD,4410,0,15,TOOWOOMBA REGION
AU,QLD,4411,0,15,TOOWOOMBA REGION
AU,QLD,4412,0,15,TOOWOOMBA REGION
AU,QLD,4413,0,15,TOOWOOMBA REGION
AU,QLD,4415,0,15,TOOWOOMBA REGION
AU,QLD,4416,0,15,TOOWOOMBA REGION
AU,QLD,4417,0,15,TOOWOOMBA REGION
AU,QLD,4418,0,15,TOOWOOMBA REGION
AU,QLD,4419,0,15,TOOWOOMBA REGION
AU,QLD,4420,0,15,TOOWOOMBA REGION
AU,QLD,4421,0,15,TOOWOOMBA REGION
AU,QLD,4422,0,15,TOOWOOMBA REGION
AU,QLD,4423,0,15,TOOWOOMBA REGION
AU,QLD,4424,0,15,TOOWOOMBA REGION
AU,QLD,4425,0,15,TOOWOOMBA REGION
AU,QLD,4426,0,15,TOOWOOMBA REGION
AU,QLD,4427,0,15,TOOWOOMBA REGION
AU,QLD,4428,0,15,TOOWOOMBA REGION
AU,QLD,4454,0,15,TOOWOOMBA REGION
AU,QLD,4455,0,15,TOOWOOMBA REGION
AU,QLD,4461,0,15,TOOWOOMBA REGION
AU,QLD,4462,0,15,TOOWOOMBA REGION
AU,QLD,4465,0,15,TOOWOOMBA REGION
AU,QLD,4467,0,15,TOOWOOMBA REGION
AU,QLD,4468,0,15,TOOWOOMBA REGION
AU,QLD,4470,0,15,TOOWOOMBA REGION
AU,QLD,4471,0,15,TOOWOOMBA REGION
AU,QLD,4472,0,15,TOOWOOMBA REGION
AU,QLD,4474,0,15,TOOWOOMBA REGION
AU,QLD,4475,0,15,TOOWOOMBA REGION
AU,QLD,4477,0,15,TOOWOOMBA REGION
AU,QLD,4478,0,15,TOOWOOMBA REGION
AU,QLD,4479,0,15,TOOWOOMBA REGION
AU,QLD,4480,0,15,TOOWOOMBA REGION
AU,QLD,4481,0,15,TOOWOOMBA REGION
AU,QLD,4482,0,15,TOOWOOMBA REGION
AU,QLD,4486,0,15,TOOWOOMBA REGION
AU,QLD,4487,0,15,TOOWOOMBA REGION
AU,QLD,4488,0,15,TOOWOOMBA REGION
AU,QLD,4489,0,15,TOOWOOMBA REGION
AU,QLD,4490,0,15,TOOWOOMBA REGION
AU,QLD,4491,0,15,TOOWOOMBA REGION
AU,QLD,4492,0,15,TOOWOOMBA REGION
AU,QLD,4493,0,15,TOOWOOMBA REGION
AU,QLD,4494,0,15,TOOWOOMBA REGION
AU,QLD,4496,0,15,TOOWOOMBA REGION
AU,QLD,4497,0,15,TOOWOOMBA REGION
AU,QLD,4498,0,15,TOOWOOMBA REGION
AU,QLD,4500,0,15,MORETON
AU,QLD,4501,0,15,MORETON
AU,QLD,4502,0,15,MORETON
AU,QLD,4503,0,15,MORETON
AU,QLD,4504,0,15,MORETON
AU,QLD,4505,0,15,MORETON
AU,QLD,4506,0,15,MORETON
AU,QLD,4507,0,15,MORETON
AU,QLD,4508,0,15,MORETON
AU,QLD,4509,0,15,MORETON
AU,QLD,4510,0,15,MORETON
AU,QLD,4511,0,15,MORETON
AU,QLD,4512,0,15,MORETON
AU,QLD,4514,0,15,MORETON
AU,QLD,4515,0,15,MORETON
AU,QLD,4516,0,15,MORETON
AU,QLD,4517,0,15,MORETON
AU,QLD,4518,0,15,SUNSHINE COAST
AU,QLD,4519,0,15,SUNSHINE COAST
AU,QLD,4520,0,15,MORETON
AU,QLD,4521,0,15,MORETON
AU,QLD,4550,0,15,SUNSHINE COAST
AU,QLD,4551,0,15,SUNSHINE COAST
AU,QLD,4552,0,15,SUNSHINE COAST
AU,QLD,4553,0,15,SUNSHINE COAST
